incident_id,timestamp,cell_id/site_id,network_slice,sla_compliant,root_cause,severity,confidence_score,affected_kpis,matched_signals,score_breakdown,explanation,recommended_actions
INC-000011,01-01-2024 00:10,CELL_008,eMBB,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000012,01-01-2024 00:11,CELL_003,eMBB,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000013,01-01-2024 00:12,CELL_002,eMBB,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000014,01-01-2024 00:13,CELL_012,HC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000015,01-01-2024 00:14,CELL_006,eMBB,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000016,01-01-2024 00:15,CELL_002,URLLC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000017,01-01-2024 00:16,CELL_001,URLLC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000018,01-01-2024 00:17,CELL_012,eMBB,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000019,01-01-2024 00:18,CELL_012,URLLC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000020,01-01-2024 00:19,CELL_017,mMTC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000021,01-01-2024 00:20,CELL_010,URLLC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000022,01-01-2024 00:21,CELL_016,mMTC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000023,01-01-2024 00:22,CELL_015,eMBB,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000024,01-01-2024 00:23,CELL_015,eMBB,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000025,01-01-2024 00:24,CELL_019,HC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000026,01-01-2024 00:25,CELL_012,eMBB,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000027,01-01-2024 00:26,CELL_020,URLLC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000028,01-01-2024 00:27,CELL_003,mMTC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000029,01-01-2024 00:28,CELL_005,eMBB,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000030,01-01-2024 00:29,CELL_019,mMTC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000031,01-01-2024 00:30,CELL_007,eMBB,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000032,01-01-2024 00:31,CELL_009,eMBB,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000033,01-01-2024 00:32,CELL_007,eMBB,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000034,01-01-2024 00:33,CELL_018,mMTC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000035,01-01-2024 00:34,CELL_004,eMBB,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000036,01-01-2024 00:35,CELL_014,mMTC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000037,01-01-2024 00:36,CELL_018,HC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000038,01-01-2024 00:37,CELL_009,URLLC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000039,01-01-2024 00:38,CELL_002,URLLC,0,Interference / Poor Signal Quality,Medium,0.9,"latency_ms, packet_loss_pct, active_users, rsrq_db, handover_count",very poor RSRQ (-18.49) | high packet loss (0.2024) | high latency (2.283) | RSRP not severely weak (-107.3),RAN Congestion=2; Suspected Cell Outage / Severe Service Drop=4; Backhaul / Transport Issue=7; Radio Coverage Degradation=2; Interference / Poor Signal Quality=8; Mobility / Handover Issue=7,"The row is classified as Interference / Poor Signal Quality because very poor RSRQ (-18.49), high packet loss (0.2024), high latency (2.283), RSRP not severely weak (-107.3).",Check RSRQ/SINR degradation | Check neighboring cell interference | Verify frequency planning | Investigate external interference sources
INC-000040,01-01-2024 00:39,CELL_020,URLLC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000041,01-01-2024 00:40,CELL_015,eMBB,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000042,01-01-2024 00:41,CELL_007,URLLC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000043,01-01-2024 00:42,CELL_012,URLLC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000044,01-01-2024 00:43,CELL_008,HC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000045,01-01-2024 00:44,CELL_015,HC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000046,01-01-2024 00:45,CELL_003,mMTC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000047,01-01-2024 00:46,CELL_014,mMTC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000048,01-01-2024 00:47,CELL_017,URLLC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000049,01-01-2024 00:48,CELL_004,URLLC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000050,01-01-2024 00:49,CELL_018,mMTC,0,Backhaul / Transport Issue,High,0.8,packet_loss_pct,very high packet loss (5.7075) | PRB below congestion threshold (36.2),RAN Congestion=1; Suspected Cell Outage / Severe Service Drop=3; Backhaul / Transport Issue=5; Radio Coverage Degradation=1; Interference / Poor Signal Quality=3; Mobility / Handover Issue=2,"The row is classified as Backhaul / Transport Issue because very high packet loss (5.7075), PRB below congestion threshold (36.2).",Check transport link health | Verify latency and packet loss on backhaul path | Check router/switch interface errors | Escalate to transport team
INC-000051,01-01-2024 00:50,CELL_008,eMBB,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000052,01-01-2024 00:51,CELL_004,HC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000053,01-01-2024 00:52,CELL_002,URLLC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000054,01-01-2024 00:53,CELL_006,URLLC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000055,01-01-2024 00:54,CELL_010,mMTC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000056,01-01-2024 00:55,CELL_004,HC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000057,01-01-2024 00:56,CELL_018,eMBB,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000058,01-01-2024 00:57,CELL_012,mMTC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000059,01-01-2024 00:58,CELL_002,URLLC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000060,01-01-2024 00:59,CELL_010,eMBB,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000061,01-01-2024 01:00,CELL_004,mMTC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000062,01-01-2024 01:01,CELL_014,URLLC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000063,01-01-2024 01:02,CELL_016,URLLC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000064,01-01-2024 01:03,CELL_015,eMBB,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000065,01-01-2024 01:04,CELL_008,URLLC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000066,01-01-2024 01:05,CELL_014,URLLC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000067,01-01-2024 01:06,CELL_008,URLLC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000068,01-01-2024 01:07,CELL_016,eMBB,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000069,01-01-2024 01:08,CELL_013,HC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000070,01-01-2024 01:09,CELL_018,URLLC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000071,01-01-2024 01:10,CELL_015,mMTC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000072,01-01-2024 01:11,CELL_013,URLLC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000073,01-01-2024 01:12,CELL_009,eMBB,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000074,01-01-2024 01:13,CELL_015,URLLC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000075,01-01-2024 01:14,CELL_013,URLLC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000076,01-01-2024 01:15,CELL_001,URLLC,0,Backhaul / Transport Issue,High,0.7,"packet_loss_pct, active_users",high packet loss (0.1006) | PRB below congestion threshold (44.5),RAN Congestion=3; Suspected Cell Outage / Severe Service Drop=3; Backhaul / Transport Issue=4; Radio Coverage Degradation=1; Interference / Poor Signal Quality=3; Mobility / Handover Issue=2,"The row is classified as Backhaul / Transport Issue because high packet loss (0.1006), PRB below congestion threshold (44.5).",Check transport link health | Verify latency and packet loss on backhaul path | Check router/switch interface errors | Escalate to transport team
INC-000077,01-01-2024 01:16,CELL_007,URLLC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000078,01-01-2024 01:17,CELL_009,URLLC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000079,01-01-2024 01:18,CELL_001,eMBB,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000080,01-01-2024 01:19,CELL_012,URLLC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000081,01-01-2024 01:20,CELL_008,eMBB,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000082,01-01-2024 01:21,CELL_011,eMBB,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000083,01-01-2024 01:22,CELL_019,HC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
INC-000084,01-01-2024 01:23,CELL_017,URLLC,1,Normal,Normal,0.95,,,RAN Congestion=0; Suspected Cell Outage / Severe Service Drop=0; Backhaul / Transport Issue=0; Radio Coverage Degradation=0; Interference / Poor Signal Quality=0; Mobility / Handover Issue=0,"SLA is compliant, so no RCA issue was detected.",No action required
